postcode,suburb,state,latitude,longitude
200,AustralianNationalUniversity,ACT,-35.280,149.120,
221,Barton,ACT,-35.200,149.100,
800,Darwin,NT,-12.800,130.960,
801,Darwin,NT,-12.800,130.960,
804,Parap,NT,-12.430,130.840,
810,Alawa,NT,-12.380,130.880,
810,Brinkin,NT,-12.380,130.880,
810,Casuarina,NT,-12.380,130.880,
810,CoconutGrove,NT,-12.380,130.880,
810,Jingili,NT,-12.380,130.880,
810,LeePoint,NT,-12.380,130.880,
810,Lyons,NT,-12.380,130.880,
810,Millner,NT,-12.380,130.880,
810,Moil,NT,-12.380,130.880,
810,Muirhead,NT,-12.380,130.880,
810,Nakara,NT,-12.380,130.880,
810,Nightcliff,NT,-12.380,130.880,
810,RapidCreek,NT,-12.380,130.880,
810,Tiwi,NT,-12.380,130.880,
810,Wagaman,NT,-12.380,130.880,
810,Wanguri,NT,-12.380,130.880,
811,Casuarina,NT,-12.380,130.850,
812,Anula,NT,-12.400,130.910,
812,BuffaloCreek,NT,-12.400,130.910,
812,Holmes,NT,-12.400,130.910,
812,Karama,NT,-12.400,130.910,
812,Leanyer,NT,-12.400,130.910,
812,Malak,NT,-12.400,130.910,
812,Marrara,NT,-12.400,130.910,
812,Northlakes,NT,-12.400,130.910,
812,Sanderson,NT,-12.400,130.910,
812,WoodleighGardens,NT,-12.400,130.910,
812,Wulagi,NT,-12.400,130.910,
813,Sanderson,NT,0.000,0.000,
814,Nightcliff,NT,-12.380,130.850,
815,CharlesDarwinUniversity,NT,0.000,0.000,
820,Bagot,NT,-12.410,130.860,
820,Bayview,NT,-12.410,130.860,
820,CharlesDarwin,NT,-12.410,130.860,
820,Coonawarra,NT,-12.410,130.860,
820,CullenBay,NT,-12.410,130.860,
820,DarwinDC,NT,-12.410,130.860,
820,DarwinInternationalAirport,NT,-12.410,130.860,
820,DarwinMC,NT,-12.410,130.860,
820,EastPoint,NT,-12.410,130.860,
820,Eaton,NT,-12.410,130.860,
820,FannieBay,NT,-12.410,130.860,
820,Larrakeyah,NT,-12.410,130.860,
820,Ludmilla,NT,-12.410,130.860,
820,Parap,NT,-12.410,130.860,
820,RaafBaseDarwin,NT,-12.410,130.860,
820,StuartPark,NT,-12.410,130.860,
820,TheGardens,NT,-12.410,130.860,
820,TheNarrows,NT,-12.410,130.860,
820,Winnellie,NT,-12.410,130.860,
820,Woolner,NT,-12.410,130.860,
821,Winnellie,NT,-12.430,130.880,
822,AcaciaHills,NT,-12.800,131.130,
822,Angurugu,NT,-12.800,131.130,
822,Anindilyakwa,NT,-12.800,131.130,
822,AnnieRiver,NT,-12.800,131.130,
822,BathurstIsland,NT,-12.800,131.130,
822,BeesCreek,NT,-12.800,131.130,
822,Belyuen,NT,-12.800,131.130,
822,BlackJungle,NT,-12.800,131.130,
822,Blackmore,NT,-12.800,131.130,
822,BorderStore,NT,-12.800,131.130,
822,Burrundie,NT,-12.800,131.130,
822,Bynoe,NT,-12.800,131.130,
822,BynoeHarbour,NT,-12.800,131.130,
822,CampCreek,NT,-12.800,131.130,
